路测标识,小区ID,纬度,经度,接收电平
KeyNum,CellID,Latitude,Longitude,RxLev
305061,9151,121.14748,41.131053,-95.061729
305062,9151,121.147482,41.131055,-95.06455
305063,9151,121.147484,41.131056,-95.067369
305064,9151,121.147485,41.131058,-95.070188
305065,9151,121.147487,41.13106,-95.073007
305066,9151,121.147489,41.131062,-95.075825
305067,9151,121.147491,41.131063,-95.078642
305068,9151,121.147492,41.131065,-95.081459
305069,9151,121.147494,41.131067,-95.084276
305070,9151,121.147496,41.131068,-95.087092
305071,9151,121.147497,41.13107,-95.089907
305072,9151,121.147499,41.131072,-95.092722
305073,9151,121.147501,41.131073,-95.095536
305074,9151,121.147502,41.131075,-95.09835
305075,9151,121.147504,41.131077,-95.101163
305076,9151,121.147506,41.131079,-95.103976
305077,9151,121.147508,41.13108,-95.106788
305078,9151,121.147509,41.131082,-95.1096
305079,9151,121.147511,41.131084,-95.112411
305080,9151,121.147513,41.131085,-95.115222
305081,9151,121.147514,41.131087,-95.118032
305082,9151,121.147516,41.131089,-95.120842
305083,9151,121.147518,41.13109,-95.123651
305084,9151,121.147519,41.131092,-95.126459
305085,9151,121.147521,41.131094,-95.129267
305086,9151,121.147523,41.131096,-95.132075
305087,9151,121.147525,41.131097,-95.134882
305088,9151,121.147526,41.131099,-95.137688
305089,9151,121.147528,41.131101,-95.140494
305090,9151,121.14753,41.131102,-95.143299
305091,9151,121.147531,41.131104,-95.146104
305092,9151,121.147533,41.131106,-95.148909
305093,9151,121.147535,41.131107,-95.151712
305094,9151,121.147536,41.131109,-95.154516
305095,9151,121.147538,41.131111,-95.157318
305096,9151,121.14754,41.131113,-95.160121
305097,9151,121.147542,41.131114,-95.162922
305098,9151,121.147543,41.131116,-95.165724
305099,9151,121.147545,41.131118,-95.168524
305100,9151,121.147547,41.131119,-95.171324
305101,9151,121.147548,41.131121,-95.174124
305102,9151,121.14755,41.131123,-95.176923
305103,9151,121.147552,41.131124,-95.179722
305104,9151,121.147553,41.131126,-95.18252
305105,9151,121.147555,41.131128,-95.185317
305106,9151,121.147557,41.13113,-95.188114
305107,9151,121.147559,41.131131,-95.190911
305108,9151,121.14756,41.131133,-95.193707
305109,9151,121.147562,41.131135,-95.196502
305110,9151,121.147564,41.131136,-95.199297
305111,9151,121.147565,41.131138,-95.202092
305112,9151,121.147567,41.13114,-95.204885
305113,9151,121.147569,41.131141,-95.207679
305114,9151,121.14757,41.131143,-95.210472
305115,9151,121.147572,41.131145,-95.213264
305116,9151,121.147574,41.131147,-95.216056
305117,9151,121.147576,41.131148,-95.218847
305118,9151,121.147577,41.13115,-95.221638
305119,9151,121.147579,41.131152,-95.224428
305120,9151,121.147581,41.131153,-95.227218
305121,9151,121.147582,41.131155,-95.230007
305122,9151,121.147584,41.131157,-95.232796
305123,9151,121.147586,41.131158,-95.235584
305124,9151,121.147587,41.13116,-95.238372
305125,9151,121.147589,41.131162,-95.241159
305126,9151,121.147591,41.131164,-95.243945
305127,9151,121.147593,41.131165,-95.246731
305128,9151,121.147594,41.131167,-95.249517
305129,9151,121.147596,41.131169,-95.252302
305130,9151,121.147598,41.13117,-95.255087
305131,9151,121.147599,41.131172,-95.257871
305132,9151,121.147601,41.131174,-95.260654
305133,9151,121.147603,41.131175,-95.263437
305134,9151,121.147604,41.131177,-95.26622
305135,9151,121.147606,41.131179,-95.269002
305136,9151,121.147608,41.131181,-95.271783
305137,9151,121.14761,41.131182,-95.274564
305138,9151,121.147611,41.131184,-95.277344
305139,9151,121.147613,41.131186,-95.280124
305140,9151,121.147615,41.131187,-95.282904
305141,9151,121.147616,41.131189,-95.285683
305142,9151,121.147618,41.131191,-95.288461
305143,9151,121.14762,41.131192,-95.291239
305144,9151,121.147621,41.131194,-95.294016
305145,9151,121.147623,41.131196,-95.296793
305146,9151,121.147625,41.131198,-95.299569
305147,9151,121.147627,41.131199,-95.302345
305148,9151,121.147628,41.131201,-95.30512
305149,9151,121.14763,41.131203,-95.307895
305150,9151,121.147632,41.131204,-95.310669
305151,9151,121.147633,41.131206,-95.313443
305152,9151,121.147635,41.131208,-95.316216
305153,9151,121.147637,41.131209,-95.318989
305154,9151,121.147638,41.131211,-95.321761
305155,9151,121.14764,41.131213,-95.324533
305156,9151,121.147642,41.131215,-95.327304
305157,9151,121.147644,41.131216,-95.330075
305158,9151,121.147645,41.131218,-95.332845
305159,9151,121.147647,41.13122,-95.335615
305160,9151,121.147649,41.131221,-95.338384
305161,9151,121.14765,41.131223,-95.341152
305162,9151,121.147652,41.131225,-95.34392
305163,9151,121.147654,41.131226,-95.346688
305164,9151,121.147655,41.131228,-95.349455
305165,9151,121.147657,41.13123,-95.352222
305166,9151,121.147659,41.131232,-95.354988
305167,9151,121.147661,41.131233,-95.357753
305168,9151,121.147662,41.131235,-95.360518
305169,9151,121.147664,41.131237,-95.363283
305170,9151,121.147666,41.131238,-95.366047
305171,9151,121.147667,41.13124,-95.36881
305172,9151,121.147669,41.131242,-95.371573
305173,9151,121.147671,41.131243,-95.374336
305174,9151,121.147672,41.131245,-95.377098
305175,9151,121.147674,41.131247,-95.379859
305176,9151,121.147676,41.131249,-95.38262
305177,9151,121.147678,41.13125,-95.385381
305178,9151,121.147679,41.131252,-95.388141
305179,9151,121.147681,41.131254,-95.3909
305180,9151,121.147683,41.131255,-95.393659
305181,9151,121.147684,41.131257,-95.396417
305182,9151,121.147686,41.131259,-95.399175
305183,9151,121.147688,41.13126,-95.401933
305184,9151,121.147689,41.131262,-95.40469
305185,9151,121.147691,41.131264,-95.407446
305186,9151,121.147693,41.131266,-95.410202
305187,9151,121.147695,41.131267,-95.412957
305188,9151,121.147696,41.131269,-95.415712
305189,9151,121.147698,41.131271,-95.418467
305190,9151,121.1477,41.131272,-95.42122
305191,9151,121.147701,41.131274,-95.423974
305192,9151,121.147703,41.131276,-95.426727
305193,9151,121.147705,41.131277,-95.429479
305194,9151,121.147706,41.131279,-95.432231
305195,9151,121.147708,41.131281,-95.434982
305196,9151,121.14771,41.131283,-95.437733
305197,9151,121.147712,41.131284,-95.440483
305198,9151,121.147713,41.131286,-95.443233
305199,9151,121.147715,41.131288,-95.445983
305200,9151,121.147717,41.131289,-95.448731
305201,9151,121.147718,41.131291,-95.45148
305202,9151,121.14772,41.131293,-95.454228
305203,9151,121.147722,41.131294,-95.456975
305204,9151,121.147723,41.131296,-95.459722
305205,9151,121.147725,41.131298,-95.462468
305206,9151,121.147727,41.1313,-95.465214
305207,9151,121.147729,41.131301,-95.467959
305208,9151,121.14773,41.131303,-95.470704
305209,9151,121.147732,41.131305,-95.473448
305210,9151,121.147734,41.131306,-95.476192
305211,9151,121.147735,41.131308,-95.478935
305212,9151,121.147737,41.13131,-95.481678
305213,9151,121.147739,41.131311,-95.48442
305214,9151,121.14774,41.131313,-95.487162
305215,9151,121.147742,41.131315,-95.489903
305216,9151,121.147744,41.131317,-95.492644
305217,9151,121.147746,41.131318,-95.495384
305218,9151,121.147747,41.13132,-95.498124
305219,9151,121.147749,41.131322,-95.500864
305220,9151,121.147751,41.131323,-95.503602
305221,9151,121.147752,41.131325,-95.506341
305222,9151,121.147754,41.131327,-95.509078
305223,9151,121.147756,41.131328,-95.511816
305224,9151,121.147757,41.13133,-95.514552
305225,9151,121.147759,41.131332,-95.517289
305226,9151,121.147761,41.131334,-95.520024
305227,9151,121.147763,41.131335,-95.52276
305228,9151,121.147764,41.131337,-95.525495
305229,9151,121.147766,41.131339,-95.528229
305230,9151,121.147768,41.13134,-95.530963
305231,9151,121.147769,41.131342,-95.533696
305232,9151,121.147771,41.131344,-95.536429
305233,9151,121.147773,41.131345,-95.539161
305234,9151,121.147774,41.131347,-95.541893
305235,9151,121.147776,41.131349,-95.544624
305236,9151,121.147778,41.131351,-95.547355
305237,9151,121.14778,41.131352,-95.550085
305238,9151,121.147781,41.131354,-95.552815
305239,9151,121.147783,41.131356,-95.555544
305240,9151,121.147785,41.131357,-95.558273
305241,9151,121.147786,41.131359,-95.561001
305242,9151,121.147788,41.131361,-95.563729
305243,9151,121.14779,41.131362,-95.566457
305244,9151,121.147791,41.131364,-95.569183
305245,9151,121.147793,41.131366,-95.57191
305246,9151,121.147795,41.131368,-95.574636
305247,9151,121.147797,41.131369,-95.577361
305248,9151,121.147798,41.131371,-95.580086
305249,9151,121.1478,41.131373,-95.58281
305250,9151,121.147802,41.131374,-95.585534
305251,9151,121.147803,41.131376,-95.588257
305252,9151,121.147805,41.131378,-95.59098
305253,9151,121.147807,41.131379,-95.593703
305254,9151,121.147808,41.131381,-95.596424
305255,9151,121.14781,41.131383,-95.599146
305256,9151,121.147812,41.131385,-95.601867
305257,9151,121.147814,41.131386,-95.604587
305258,9151,121.147815,41.131388,-95.607307
305259,9151,121.147817,41.13139,-95.610026
305260,9151,121.147819,41.131391,-95.612745
305261,9151,121.14782,41.131393,-95.615464
305262,9151,121.147822,41.131395,-95.618182
305263,9151,121.147824,41.131396,-95.620899
305264,9151,121.147825,41.131398,-95.623616
305265,9151,121.147827,41.1314,-95.626333
305266,9151,121.147829,41.131402,-95.629048
305267,9151,121.147831,41.131403,-95.631764
305268,9151,121.147832,41.131405,-95.634479
305269,9151,121.147834,41.131407,-95.637193
305270,9151,121.147836,41.131408,-95.639907
305271,9151,121.147837,41.13141,-95.642621
305272,9151,121.147839,41.131412,-95.645334
305273,9151,121.147841,41.131413,-95.648046
305274,9151,121.147842,41.131415,-95.650758
305275,9151,121.147844,41.131417,-95.65347
305276,9151,121.147846,41.131419,-95.656181
305277,9151,121.147848,41.13142,-95.658892
305278,9151,121.147849,41.131422,-95.661602
305279,9151,121.147851,41.131424,-95.664311
305280,9151,121.147853,41.131425,-95.66702
305281,9151,121.147854,41.131427,-95.669729
305282,9151,121.147856,41.131429,-95.672437
305283,9151,121.147858,41.13143,-95.675145
305284,9151,121.147859,41.131432,-95.677852
305285,9151,121.147861,41.131434,-95.680559
305286,9151,121.147863,41.131436,-95.683265
305287,9151,121.147865,41.131437,-95.68597
305288,9151,121.147866,41.131439,-95.688676
305289,9151,121.147868,41.131441,-95.69138
305290,9151,121.14787,41.131442,-95.694084
305291,9151,121.147871,41.131444,-95.696788
305292,9151,121.147873,41.131446,-95.699491
